,Created At,Responded,Text,Tweet ID,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,User
0,Tue Nov 05 23:46:38 +0000 2019,Yes,@millioninprizes let's play this game/test,1191864428850892800,0.0,0.0,0.0,0.0,ShoMarq
1,Tue Nov 05 20:29:48 +0000 2019,Yes,"@millioninprizes so cool! Well done, Heather! &lt;3 &lt;3",1191814895060344832,1.0,1.0,1.0,1.0,icarusfloats
2,Tue Nov 05 20:19:04 +0000 2019,Yes,@millioninprizes wowy wow wow it works!,1191812192045273088,2.0,2.0,2.0,2.0,icarusfloats
3,Tue Nov 05 19:28:09 +0000 2019,Yes,"@millioninprizes Hello, wonderful spinny boi! Please recommend a show to me.",1191799378949922816,3.0,3.0,3.0,3.0,icarusfloats
4,Tue Nov 05 18:33:29 +0000 2019,Yes,@millioninprizes what happens if I send a test tweet to your account?,1191785621347610629,4.0,4.0,4.0,4.0,icarusfloats
5,Tue Nov 05 18:31:38 +0000 2019,Yes,@millioninprizes,1191785157218521092,5.0,5.0,5.0,5.0,grittygremlin
6,Thu Oct 31 19:56:48 +0000 2019,Yes,@millioninprizes We definitely understand your frustration. Some items are only able to be refunded. You should see… https://t.co/AzWroViDcx,1189994649500422145,6.0,6.0,6.0,6.0,AmazonHelp
7,Thu Oct 31 19:36:08 +0000 2019,Yes,@millioninprizes It's never our intention to let you down. Has this order been refunded or have you spoke with the… https://t.co/u3KCGA4g5O,1189989451226918912,7.0,7.0,7.0,7.0,AmazonHelp
8,Fri Jan 18 19:20:40 +0000 2019,Yes,@millioninprizes Good morning Heather. We're sorry to hear your wait time was longer than expected. We recommend sp… https://t.co/LE68NbW2Kl,1086342626394148865,8.0,8.0,8.0,8.0,HondaCustSvc
9,Tue Nov 12 06:13:26 +0000 2019,Yes,"@millioninprizes the last one had a beautiful website, gimme more",1194136096424071168,9.0,9.0,9.0,,eleglac
10,Tue Nov 12 06:07:06 +0000 2019,Yes,@millioninprizes gimme some podcast magic,1194134502626357250,10.0,10.0,10.0,,eleglac
11,Tue Nov 12 06:13:26 +0000 2019,Yes,"@millioninprizes the last one had a beautiful website, gimme more",1194136096424071168,11.0,11.0,11.0,,eleglac
12,Tue Nov 12 06:07:06 +0000 2019,Yes,@millioninprizes gimme some podcast magic,1194134502626357250,12.0,12.0,12.0,,eleglac
13,Tue Nov 12 06:13:26 +0000 2019,Yes,"@millioninprizes the last one had a beautiful website, gimme more",1194136096424071168,13.0,13.0,,,eleglac
14,Tue Nov 12 06:07:06 +0000 2019,Yes,@millioninprizes gimme some podcast magic,1194134502626357250,14.0,14.0,,,eleglac
15,Tue Nov 12 06:13:26 +0000 2019,Yes,"@millioninprizes the last one had a beautiful website, gimme more",1194136096424071168,15.0,15.0,,,eleglac
16,Tue Nov 12 06:07:06 +0000 2019,Yes,@millioninprizes gimme some podcast magic,1194134502626357250,16.0,16.0,,,eleglac
17,Tue Nov 12 06:13:26 +0000 2019,Yes,"@millioninprizes the last one had a beautiful website, gimme more",1194136096424071168,17.0,,,,eleglac
18,Tue Nov 12 06:07:06 +0000 2019,,@millioninprizes gimme some podcast magic,1194134502626357250,18.0,,,,eleglac
19,Tue Nov 12 06:49:42 +0000 2019,Yes,@millioninprizes keep 'em coming this is the bee's knees,1194145225947484160,,,,,eleglac
20,Thu May 03 23:14:50 +0000 2018,,@millioninprizes THANK YOU! I am now deleting the app and will be relying on other methods. I greatly appreciate yo… https://t.co/B16C1Icl0T,992180712689221633,,,,,BetaPondLLC
21,Thu May 03 22:43:23 +0000 2018,,"@millioninprizes It looks like that code hit that 20,000 redemption limit also mentioned in the fine print, so unfo… https://t.co/fS1Wy1k6ez",992172797676810240,,,,,Eat24
22,Thu Mar 09 21:07:36 +0000 2017,,"@millioninprizes hi, we would like to look into this for you. Pllease send us a DM to be able to address you accordingly. VG",839945789501767680,,,,,virginmobileusa
